sonde007.01.80.12.95  sonde109.01.85.12.93  sonde280.05.85.02.91
sonde012.01.80.12.95  sonde132.02.82.12.91  sonde315.11.92.12.95
sonde014.01.80.12.95  sonde156.01.80.12.93  sonde328.01.98.12.02
sonde018.01.88.12.93  sonde174.06.92.12.95  sonde328.07.90.10.92
sonde021.01.80.12.93  sonde175.01.98.12.01  sonde329.04.90.10.92
sonde024.01.80.12.93  sonde190.09.89.12.95  sonde334.09.92.10.92
sonde026.01.80.12.95  sonde191.01.98.12.02  sonde335.09.92.10.92
sonde067.01.85.12.93  sonde219.11.78.10.92  sonde432.01.98.12.99
sonde076.09.80.12.93  sonde221.01.80.12.93  sonde434.03.98.12.01
sonde077.01.80.12.93  sonde233.11.88.12.95  sonde435.09.99.12.01
sonde089.10.90.12.93  sonde256.08.86.12.90  sonde436.01.98.12.02
sonde099.01.80.12.93  sonde262.01.89.12.92  sonde437.01.98.11.02
sonde101.01.86.12.93  sonde265.07.90.10.93  sonde438.01.98.11.02
sonde107.01.80.12.93  sonde265.11.98.12.02  sonde448.03.99.12.02
                                            sonde552.04.93.05.96
                                            sonde553.08.93.07.95
CODE   LAT     LON    ALT  STATIONNAME 
007   31.58  130.57   156  Kagoshima   
012   43.06  141.33    19  Sapporo     
014   36.06  140.00    31  Tateno      
018   82.5   -62.32    62  Alert
021   53.55 -114.10   766  Edmonton
024   74.72  -94.98    40  Resolute
026  -38.03  145.10     1  Aspendale
067   40.03 -105.25  1634  Boulder
076   53.30  -60.36    40  Goose_Bay
077   58.75  -94.07    35  Churchill
089   78.93   11.88   243  Ny_Alesund
099   47.80   11.02   975  Hohenpeissenberg
101  -69.00   39.58    21  Syowa
107   37.93  -75.48    13  Wallops_Island
109   19.58 -155.07    11  Hilo
132   42.82   23.38   588  Sofia
174   52.21   14.12   112  Lindenberg
175   -1.27   36.89  1795  Nairobi
190   26.20  127.68    27  Naha
191  -14.25 -170.56    82  Samoa
219   -5.84  -35.21    32  Natal
233  -64.23  -56.72   196  Marambio
256  -45.03  169.68   370  Lauder
262   67.34   26.51   179  Sodankyla
265  -25.56   28.19  1524  Irene_Pretoria
280  -70.77   11.87   110  Forster
315   80.04  -86.18   315  Eureka
328   -7.98  -14.42    91  Ascension
329   -4.28   15.25   314  Brazzaville
432  -18.00 -149.00     2  Tahiti
434   -0.92  -89.60     8  SanCristobal
435    5.81  -55.21    25  Paramaribo
436  -21.06   55.48    24  Reunion
437   -7.57  112.65    50  Java
438  -18.13  178.40     6  Fiji
448   -2.99   40.19    -6  Malindi
024   74.72  -94.98    40  Resolute
021   53.55 -114.10   766  Edmonton
099   47.80   11.02   975  Hohenpeissenberg
012   43.06  141.33    19  Sapporo
067   40.03 -105.25  1634  Boulder
107   37.93  -75.48    13  Wallops_Island
014   36.06  140.00    31  Tateno
007   31.58  130.57   156  Kagoshima
190   26.20  127.68    27  Naha
109   19.58 -155.07    11  Hilo
219   -5.84  -35.21    32  Natal
191  -14.25 -170.56    82  Samoa
265  -25.56   28.19  1524  Pretoria
026  -38.03  145.10     1  Aspendale
256  -45.03  169.68   370  Lauder
101  -69.00   39.58    21  Syowa
