1300:Snow water equivalent djf (v globsnow)
1303:Snow water equivalent mam (v globsnow)
1309:Snow water equivalent son (v globsnow)
1500:Net Down Surface SW ann (v ebaf)
1510:Net Down Surface SW djf (v ebaf)
1520:Net Down Surface SW mam (v ebaf)
1530:Net Down Surface SW jja (v ebaf)
1540:Net Down Surface SW son (v ebaf)
1560:Net Down Surface LW ann (v ebaf)
1570:Net Down Surface LW djf (v ebaf)
1580:Net Down Surface LW mam (v ebaf)
1590:Net Down Surface LW jja (v ebaf)
1600:Net Down Surface LW son (v ebaf)
2000:Unfrozen soil moisture layer 1 djf (v ecv_sm)
2001:Unfrozen soil moisture layer 1 mam (v ecv_sm)
2002:Unfrozen soil moisture layer 1 jja (v ecv_sm)
2003:Unfrozen soil moisture layer 1 son (v ecv_sm)
