"date" "P" "ETpot" "Q"
2011010100 0 0 0.042
2011010101 0 0 0.0436
2011010102 0 0 0.0454
2011010103 0 0 0.0473
2011010104 0 0 0.0495
2011010105 0 0 0.0522
2011010106 0 0 0.0548
2011010107 0 0.0011 0.0584
2011010108 0.2 0.0085 0.0609
2011010109 0.2 0.0148 0.0667
2011010110 0.1 0.0265 0.0724
2011010111 0 0.0466 0.0781
2011010112 0.1 0.0402 0.0854
2011010113 0 0.0402 0.0923
2011010114 0 0.019 0.1021
2011010115 0 0.0032 0.1111
2011010116 0 0 0.1185
2011010117 0 0 0.1214
2011010118 0 0 0.1228
2011010119 0 0 0.1233
2011010120 0 0 0.1234
2011010121 0 0 0.1229
2011010122 0 0 0.1205
2011010123 0 0 0.1185
2011010200 0 0 0.1164
2011010201 0.2 0 0.114
2011010202 0 0 0.1121
2011010203 0 0 0.1096
2011010204 0.1 0 0.1074
2011010205 0 0 0.1053
2011010206 0 0 0.1029
2011010207 0 0.0011 0.1005
2011010208 0 0.0225 0.0981
2011010209 0 0.0601 0.0958
2011010210 0 0.1051 0.0935
2011010211 0 0.0826 0.0913
2011010212 0 0.0718 0.0897
2011010213 0 0.0375 0.0886
2011010214 0 0.0172 0.0878
2011010215 0 0.0021 0.087
2011010216 0 0 0.0859
2011010217 0 0 0.085
2011010218 0 0 0.0836
2011010219 0 0 0.0822
2011010220 0 0 0.0805
2011010221 0 0 0.079
2011010222 0 0 0.0775
2011010223 0 0 0.0762
2011010300 0 0 0.075
2011010301 0 0 0.0737
2011010302 0 0 0.0726
2011010303 0 0 0.0714
2011010304 0 0 0.0704
2011010305 0 0 0.0692
2011010306 0 0 0.068
2011010307 0 0 0.0671
2011010308 0 0.0185 0.0658
2011010309 0 0.0659 0.0646
2011010310 0 0.0879 0.0635
2011010311 0 0.0832 0.0624
2011010312 0 0.0647 0.0614
2011010313 0 0.0601 0.0607
2011010314 0 0.0173 0.0602
2011010315 0 0.0023 0.06
2011010316 0 0 0.0597
2011010317 0 0 0.0591
2011010318 0 0 0.0586
2011010319 0 0 0.0581
2011010320 0 0 0.0577
2011010321 0 0 0.0572
2011010322 0 0 0.057
2011010323 0 0 0.0567
2011010400 0 0 0.0564
2011010401 0 0 0.0561
2011010402 0 0 0.0561
2011010403 0 0 0.0557
2011010404 0 0 0.0557
2011010405 0 0 0.0556
2011010406 0 0 0.0553
2011010407 0 0 0.0553
2011010408 0 0.0037 0.0553
2011010409 0 0.0193 0.0549
2011010410 0 0.0275 0.0544
2011010411 0 0.0367 0.0541
2011010412 0 0.0459 0.0536
2011010413 0 0.0413 0.0536
2011010414 0 0.022 0.0536
2011010415 0 0.0037 0.0536
2011010416 0 0 0.0536
2011010417 0 0 0.0536
2011010418 0 0 0.0534
2011010419 0 0 0.0529
2011010420 0 0 0.0526
2011010421 0 0 0.0518
2011010422 0 0 0.0511
2011010423 0 0 0.0503
2011010500 0 0 0.0491
2011010501 0 0 0.0481
2011010502 0 0 0.0474
2011010503 0 0 0.0472
2011010504 0 0 0.0472
2011010505 0 0 0.0472
2011010506 0 0 0.0464
2011010507 0 9e-04 0.0459
2011010508 0 0.0134 0.0451
2011010509 0 0.0358 0.044
2011010510 0 0.0564 0.0431
2011010511 0 0.0681 0.0431
2011010512 0 0.0681 0.0431
2011010513 0 0.0331 0.0433
2011010514 0 0.0215 0.0434
2011010515 0 0.0027 0.0431
2011010516 0 0 0.0431
2011010517 0 0 0.0431
2011010518 0 0 0.0431
2011010519 0 0 0.0425
2011010520 0 0 0.0423
2011010521 0 0 0.0423
2011010522 0 0 0.0423
2011010523 0.1 0 0.0427
2011010600 0 0 0.043
2011010601 0 0 0.0431
2011010602 0.4 0 0.0431
2011010603 0.3 0 0.0431
2011010604 0.3 0 0.0436
2011010605 0.4 0 0.0457
2011010606 0.3 0 0.0494
2011010607 0.1 0 0.0546
2011010608 0 0.0086 0.061
2011010609 0.1 0.0198 0.0684
2011010610 0 0.0185 0.0766
2011010611 0.6 0.0136 0.0855
2011010612 0.5 0.0198 0.0943
2011010613 1 0.0136 0.1064
2011010614 2 0.0049 0.123
2011010615 2.4 0.0012 0.1492
2011010616 1.8 0 0.1918
2011010617 0.4 0 0.2602
2011010618 1.3 0 0.3524
2011010619 0.3 0 0.4205
2011010620 1.9 0 0.4826
2011010621 0.1 0 0.5548
2011010622 0 0 0.623
2011010623 0 0 0.6591
2011010700 0 0 0.6591
2011010701 0 0 0.6247
2011010702 0 0 0.5621
2011010703 0 0 0.4962
2011010704 0 0 0.4436
2011010705 0 0 0.4051
2011010706 0 0 0.3737
2011010707 0 0 0.3473
2011010708 0.3 0.007 0.327
2011010709 0.2 0.0193 0.3092
2011010710 0.4 0.0263 0.2979
2011010711 0.3 0.0175 0.292
2011010712 0.1 0.014 0.2929
2011010713 0 0.0105 0.2982
2011010714 0 0.0053 0.3089
2011010715 1.8 0 0.3147
2011010716 0.1 0 0.3173
2011010717 0 0 0.3327
2011010718 0.1 0 0.3588
2011010719 0 0 0.3756
2011010720 0 0 0.3759
2011010721 0 0 0.3663
2011010722 0 0 0.3541
2011010723 0 0 0.3393
2011010800 0 0 0.3226
2011010801 0 0 0.3095
2011010802 0.2 0 0.2982
2011010803 1.9 0 0.2876
2011010804 0 0 0.2819
2011010805 0 0 0.2959
2011010806 0 0 0.3115
2011010807 0 0.0016 0.3191
2011010808 0 0.0236 0.3188
2011010809 0 0.0205 0.3092
2011010810 0 0.022 0.2968
2011010811 0 0.0315 0.2865
2011010812 0 0.0425 0.2778
2011010813 0 0.0472 0.2698
2011010814 0 0.0094 0.2604
2011010815 0.1 0.0016 0.2502
2011010816 0 0 0.2419
2011010817 0 0 0.2336
2011010818 0 0 0.2266
2011010819 0 0 0.2189
2011010820 0 0 0.2122
2011010821 0 0 0.2065
2011010822 0 0 0.2011
2011010823 0.1 0 0.196
2011010900 0.4 0 0.1919
2011010901 0.3 0 0.1883
2011010902 0 0 0.1861
2011010903 0 0 0.1853
2011010904 0 0 0.1842
2011010905 0 0 0.1824
2011010906 0 0 0.179
2011010907 0 0 0.1757
2011010908 0 0.0092 0.1721
2011010909 0 0.0267 0.1679
2011010910 0 0.0647 0.1639
2011010911 0 0.0503 0.16
2011010912 0 0.0719 0.1567
2011010913 0 0.0462 0.154
2011010914 0 0.0267 0.1514
2011010915 0 0.0041 0.1484
2011010916 0 0 0.1451
2011010917 0 0 0.1418
2011010918 0 0 0.1395
2011010919 0 0 0.1359
2011010920 0 0 0.1326
2011010921 0 0 0.1299
2011010922 0 0 0.1276
2011010923 0 0 0.1254
2011011000 0 0 0.1231
2011011001 0 0 0.1206
2011011002 0 0 0.1187
2011011003 0 0 0.1165
2011011004 0 0 0.1143
2011011005 0 0 0.1121
2011011006 0 0 0.1096
2011011007 0 0.001 0.1074
2011011008 0 0.0162 0.1056
2011011009 0 0.0658 0.1033
2011011010 0 0.0749 0.1012
2011011011 0 0.082 0.0996
2011011012 0 0.081 0.0983
2011011013 0 0.0527 0.0978
2011011014 0 0.0233 0.0978
2011011015 0 0.003 0.098
2011011016 0 0 0.0987
2011011017 0 0 0.0996
2011011018 0 0 0.0996
2011011019 0 0 0.0996
2011011020 0 0 0.0996
2011011021 0 0 0.099
2011011022 0 0 0.0978
2011011023 0 0 0.0967
2011011100 0 0 0.0949
2011011101 0 0 0.0937
2011011102 0 0 0.0921
2011011103 0 0 0.0906
2011011104 0 0 0.0892
2011011105 0 0 0.0879
2011011106 0 0 0.0869
2011011107 0 0.0028 0.0859
2011011108 0 0.0264 0.085
2011011109 0.1 0.0431 0.0839
2011011110 0.2 0.0458 0.083
2011011111 0.2 0.0333 0.0828
2011011112 0.1 0.0264 0.0828
2011011113 0.1 0.0167 0.083
2011011114 0.1 0.0042 0.0844
2011011115 0.1 0.0014 0.0859
2011011116 0 0 0.0885
2011011117 0 0 0.0907
2011011118 0 0 0.091
2011011119 0 0 0.091
2011011120 0 0 0.091
2011011121 0 0 0.091
2011011122 0 0 0.091
2011011123 0 0 0.091
2011011200 0 0 0.091
2011011201 0 0 0.0906
2011011202 0 0 0.0896
2011011203 0 0 0.0885
2011011204 0 0 0.0871
2011011205 0 0 0.0856
2011011206 0 0 0.0846
2011011207 0 0.0012 0.084
2011011208 0 0.012 0.0834
2011011209 0 0.0229 0.0828
2011011210 0 0.0193 0.0824
2011011211 0.9 0.012 0.0819
2011011212 0.8 0.012 0.0818
2011011213 0.6 0.012 0.0827
2011011214 0.4 0.0072 0.087
2011011215 0.1 0.0012 0.0944
2011011216 0.6 0 0.1021
2011011217 1.6 0 0.1096
2011011218 0.8 0 0.117
2011011219 2.4 0 0.1325
2011011220 1.6 0 0.1532
2011011221 1.6 0 0.1915
2011011222 2.2 0 0.239
2011011223 1.7 0 0.3004
2011011300 0.3 0 0.3757
2011011301 0.1 0 0.4484
2011011302 0 0 0.4911
2011011303 0 0 0.4877
2011011304 0.3 0 0.4487
2011011305 1.6 0 0.4021
2011011306 1.8 0 0.3689
2011011307 1.9 0 0.3638
2011011308 1.9 0.0052 0.3995
2011011309 1.7 0.0121 0.4761
2011011310 0.1 0.019 0.5735
2011011311 0.1 0.0207 0.6547
2011011312 0.3 0.0241 0.6811
2011011313 0.4 0.0138 0.6733
2011011314 0.2 0.0034 0.6398
2011011315 0 0.0017 0.5846
2011011316 0 0 0.528
2011011317 0.1 0 0.4839
2011011318 0.1 0 0.4479
2011011319 0.1 0 0.418
2011011320 0.1 0 0.393
2011011321 0.1 0 0.3721
2011011322 0 0 0.3544
2011011323 0.5 0 0.3393
2011011400 0.6 0 0.327
2011011401 0.5 0 0.3194
2011011402 0.1 0 0.3194
2011011403 0.6 0 0.327
2011011404 0.1 0 0.3336
2011011405 0.1 0 0.3372
2011011406 0.1 0 0.3375
2011011407 0.3 0 0.3336
2011011408 0.3 0.0075 0.3276
2011011409 0.5 0.0104 0.3205
2011011410 0.4 0.0194 0.3161
2011011411 0.3 0.0179 0.3153
2011011412 0.4 0.0194 0.3159
2011011413 0.4 0.0164 0.3185
2011011414 0.1 0.0075 0.3238
2011011415 0.1 0.0015 0.3288
2011011416 0.9 0 0.3318
2011011417 0.5 0 0.33
2011011418 1.1 0 0.3273
2011011419 2.3 0 0.3354
2011011420 0.3 0 0.3701
2011011421 0.5 0 0.4438
2011011422 0 0 0.5034
2011011423 0 0 0.5236
2011011500 0 0 0.5076
2011011501 0 0 0.4709
2011011502 0 0 0.4298
2011011503 0 0 0.3927
2011011504 0 0 0.3635
2011011505 0 0 0.3393
2011011506 0 0 0.32
2011011507 0 0 0.3035
2011011508 0 0.0144 0.2898
2011011509 0 0.0216 0.2778
2011011510 0 0.0198 0.2675
2011011511 0 0.027 0.2581
2011011512 0 0.0396 0.2502
2011011513 0 0.0577 0.2422
2011011514 0 0.0162 0.2358
2011011515 0 0.0036 0.23
2011011516 0 0 0.2243
2011011517 0 0 0.2184
2011011518 0 0 0.2117
2011011519 0 0 0.2058
2011011520 0 0 0.2009
2011011521 0 0 0.196
2011011522 0 0 0.1921
2011011523 0 0 0.1879
2011011600 0 0 0.184
