ECV;Product;Dataset(s);Title of reference;Author(s) of reference;Year of publication;DOI (reference);Keywords
Ozone;toz;ESA-CCI;Long-term ozone changes and associated climate impacts in CMIP5 simulations;Eyring, V., et al.;2013;https://doi.org/10.1002/jgrd.50316;climatology, mean, trend, differences
Temperature;ta;ERA40;Performance metrics for climate models;Gleckler, P.J., et al.;2008;https://doi.org/10.1029/2007JD008972;climatologie, standard deviation
Sea Ice;sithick;IceSat;Using records from submarine, aircraft and satellites to evaluate climate model simulations of Arctic sea ice thickness;Stroeve, J., et al.;2014;https://doi.org/10.5194/tc-8-1839-2014;mean, spatial patterns, correlation, RMSE
Cloud Properties;clt;CLARA-A2;Benchmarking CMIP5 models with a subset of ESA CCI Phase 2 data using the ESMValTool;Lauer, A., et al.;2017;https://doi.org/10.1016/j.rse.2017.01.007;mean, variability
Wind Air Speed;;;;;;;
Water Vapor;;;;;;;
TOA Radiation Budget;;;;;;;
Surface Radiation Budget;;;;;;;
Precipitation;;;;;;;
Carbon Dioxide;xco2;ESA CCI;Benchmarking CMIP5 models with a subset of ESA CCI Phase 2 data using the ESMValTool;Lauer, A., et al.;2017;https://doi.org/10.1016/j.rse.2017.01.007;climatology, mean
Aerosol;abs550aer;ESA CCI;Benchmarking CMIP5 models with a subset of ESA CCI Phase 2 data using the ESMValTool;Lauer, A., et al.;2017;https://doi.org/10.1016/j.rse.2017.01.007;mean 
Methane;xch4;na;;;;na;na
Long-lived GHGs;;;;;;;
Sea Surface Temperature;;;;;;;
Sea Level;sea level;"PSMSL; AVISO Altimetry; ESA CCI; CSIRO";Vertical land motion as a key to understanding sea level change and variability;W”ppelmann, G., et al.;2016;http://dx.doi.org/10.1002/2015RG000502;coastal sea level
Sea Level;sla;GESLA;Improved satellite altimeter mapped sea level anomalies in the Mediterranean Sea: A comparison with tide gauges;Marcos, M., et al.;2015;http://dx.doi.org/10.1016/j.asr.2015.04.027;"Mediterranean Sea; Sea level; Satellite altimetry; Tide gauges"
Sea Level;sea level;PSMSL ;Comparing tide gauge observations to regional patterns of sea-level change (1961-2003);Slangen, A.B.A., et al.;2014;https://doi.org/10.5194/esd-5-243-2014;"tide gauges; climate models"
Sea Level;sea level;"MOG2D;HAMSOM; AVISO; SONEL; IGN; APAT; ESEAS; MedGLOSS ";Comparing the sea level response to pressure and wind forcing of two barotropic models: Validation with tide gauge and altimetry data;Pascual, A., et al.;2008;https://doi.org/10.1029/2007JC004459;"barotropic model; Mediterranean Sea; NE Atlantic; tide gauge; satellite altimetry"
Surface Currents;surface current;AVISO;Mesoscale mapping capabilities of multisatelliteÿ altimeter missions: First results with real data in the Mediterranean Sea;Pascual, A., et al.;2007;https://doi.org/10.1016/j.jmarsys.2004.12.004;"Satellite altimetry; Sea level; Surface currents; Eddy Kinetic Energy; Mesoscale ocean circulation; Mediterranean Sea"
Surface Currents;surface current;"AVISO; DAAC; SVP;CODE;CMOP";Surface Geostrophic Circulation of the Mediterranean Sea Derived from Drifter and Satellite Altimeter Data;Poulain, P., et al.;2012;https://doi.org/10.1175/JPO-D-11-0159.1;"surface currents; Mediterranean Sea; drifters; remote sensing"
Surface Currents;surface current;AVISO;Improved description of the ocean mesoscale variability by combining four satellite altimeters;Pascual, A., et al.;2006;https://doi.org/10.1029/2005GL024633;"satelite altimetry; drifter; surface currents"
Surface Currents;surface current;"AVISO; GLOSS; CLIVAR";On the Quality of Real-Time Altimeter Gridded Fields: Comparison with In Situ Data;Pascual, A., et al.;2009;https://doi.org/10.1175/2008JTECHO556.1;"satellite observations; currents; sea level; data quality control; in situ data"
Ocean Surface Heat Flux;;;;;;;
Ocean Surface Stress;;;;;;;
Surface Salinity;;;;;;;
Soil Moisture;soil moisture, for ERA top layer (0-7 cm);ERA-Interim and CCI;Sensitivity analysis of different parameterization schemes using RegCM4.3 for the Carpathian region;Pieczka, I., et al.;2017;https://doi.org/10.1007/s00704-016-1941-4;climate validation, yearly cycle
Soil Moisture;soil moisture;ESA-CCI;Seasonal soil moisture and drought occurrence in Europe in CMIP5 projections for the 21st century;Ruosteenoja, K., et al.;2018;https://doi.org/10.1007/s00382-017-3671-4;trend, long term mean, correlation
